,Title,Character
0,Enter: Naruto Uzumaki!,Naruto Uzumaki
1,Enter: Naruto Uzumaki!,Sasuke Uchiha
2,Enter: Naruto Uzumaki!,Sakura Haruno
3,Enter: Naruto Uzumaki!,Third Hokage: Sarutobi
4,Enter: Naruto Uzumaki!,Iruka
5,Enter: Naruto Uzumaki!,Shikamaru Nara
6,Enter: Naruto Uzumaki!,Ino Yamanaka
7,Enter: Naruto Uzumaki!,Hinata Hyūga
8,Enter: Naruto Uzumaki!,Mizuki
9,Enter: Naruto Uzumaki!,Bekkō
10,Enter: Naruto Uzumaki!,Iwana
11,Enter: Naruto Uzumaki!,Yajirobee
12,Enter: Naruto Uzumaki!,Ibara
13,Enter: Naruto Uzumaki!,Tsubaki
14,Enter: Naruto Uzumaki!,Yoshimitsu Shimoyama
15,Enter: Naruto Uzumaki!,Tomo Shigematsu
16,Enter: Naruto Uzumaki!,Iruka (boyhood)
17,My Name is Konohamaru!,Naruto Uzumaki
18,My Name is Konohamaru!,Konohamaru
19,My Name is Konohamaru!,Third Hokage: Sarutobi
20,My Name is Konohamaru!,Iruka
21,My Name is Konohamaru!,Ebisu
22,My Name is Konohamaru!,Genzō
23,My Name is Konohamaru!,Yuki Masuda
24,My Name is Konohamaru!,Gal Naruto
25,Sasuke and Sakura: Friends or Foes?,Naruto Uzumaki
26,Sasuke and Sakura: Friends or Foes?,Sasuke Uchiha
27,Sasuke and Sakura: Friends or Foes?,Sakura Haruno
28,Sasuke and Sakura: Friends or Foes?,Kakashi Hatake
29,Sasuke and Sakura: Friends or Foes?,Iruka
30,Sasuke and Sakura: Friends or Foes?,Shikamaru Nara
31,Sasuke and Sakura: Friends or Foes?,Ino Yamanaka
32,Sasuke and Sakura: Friends or Foes?,Hinata Hyūga
33,Sasuke and Sakura: Friends or Foes?,Chōji Akimichi
34,Sasuke and Sakura: Friends or Foes?,Kiba Inuzuka
35,Sasuke and Sakura: Friends or Foes?,Third Hokage: Sarutobi
36,Sasuke and Sakura: Friends or Foes?,Konohamaru
37,Sasuke and Sakura: Friends or Foes?,Asuma Sarutobi
38,Sasuke and Sakura: Friends or Foes?,Kurenai Yūhi
39,Sasuke and Sakura: Friends or Foes?,Tobio
40,Sasuke and Sakura: Friends or Foes?,Sakura's mother
41,Sasuke and Sakura: Friends or Foes?,Masayo Hosono
42,Pass or Fail: Survival Test,Naruto Uzumaki
43,Pass or Fail: Survival Test,Sasuke Uchiha
44,Pass or Fail: Survival Test,Sakura Haruno
45,Pass or Fail: Survival Test,Kakashi Hatake
46,Pass or Fail: Survival Test,Iruka
47,Pass or Fail: Survival Test,Third Hokage: Sarutobi
48,You Failed! Kakashi's Final Decision,Naruto Uzumaki
49,You Failed! Kakashi's Final Decision,Sasuke Uchiha
50,You Failed! Kakashi's Final Decision,Sakura Haruno
51,You Failed! Kakashi's Final Decision,Kakashi Hatake
52,You Failed! Kakashi's Final Decision,Iruka
53,You Failed! Kakashi's Final Decision,Third Hokage: Sarutobi
54,A Dangerous Mission! Journey to the Land of Waves!,Naruto Uzumaki
55,A Dangerous Mission! Journey to the Land of Waves!,Sasuke Uchiha
56,A Dangerous Mission! Journey to the Land of Waves!,Sakura Haruno
57,A Dangerous Mission! Journey to the Land of Waves!,Kakashi Hatake
58,A Dangerous Mission! Journey to the Land of Waves!,Iruka
59,A Dangerous Mission! Journey to the Land of Waves!,Third Hokage: Sarutobi
60,A Dangerous Mission! Journey to the Land of Waves!,Tazuna
61,A Dangerous Mission! Journey to the Land of Waves!,Zabuza Momochi
62,A Dangerous Mission! Journey to the Land of Waves!,Gatō
63,A Dangerous Mission! Journey to the Land of Waves!,Meizu
64,A Dangerous Mission! Journey to the Land of Waves!,Shijimi
65,The Assassin of the Mist!,Naruto Uzumaki
66,The Assassin of the Mist!,Sasuke Uchiha
67,The Assassin of the Mist!,Sakura Haruno
68,The Assassin of the Mist!,Kakashi Hatake
69,The Assassin of the Mist!,Zabuza Momochi
70,The Assassin of the Mist!,Tazuna
71,The Assassin of the Mist!,Kaji
72,The Oath of Pain,Naruto Uzumaki
