Arc,Categorized,Total episodes
"Arc
Fourth Shinobi World War: Confrontation",shippuden,53
"Arc
Chūnin Exams",naruto,48
"Arc
Fourth Shinobi World War: Climax",shippuden,41
"Arc
Kawaki Arc",Boruto,33
"Arc
Kazekage Rescue Mission",shippuden,32
"Arc
Birth of the Ten-Tails' Jinchūriki",shippuden,29
"Arc
Sasuke Recovery Mission",naruto,29
"Arc
Three-Tails' Appearance",shippuden,24
"Arc
Great Sea Battle of Kirigakure Arc",Boruto,23
"Arc
Mitsuki's Disappearance Arc",Boruto,22
"Arc
Fourth Shinobi World War: Countdown",shippuden,22
"Arc
Pain's Assault",shippuden,22
"Arc
Tenchi Bridge Reconnaissance Mission",shippuden,21
"Arc
Past Arc: The Locus of Konoha",shippuden,21
"Arc
In Naruto's Footsteps: The Friends' Paths",shippuden,20
"Arc
Kaguya Ōtsutsuki Strikes",shippuden,20
"Arc
Paradise Life on a Boat",shippuden,20
"Arc
Search for Tsunade",naruto,20
"Arc
Jiraiya Shinobi Handbook: The Tale of Naruto the Hero",shippuden,19
"Arc
Prologue — Land of Waves",naruto,19
"Arc
Kara Actuation Arc",Boruto,19
"Arc
Five Kage Summit",shippuden,18
"Arc
Twelve Guardian Ninja",shippuden,18
"Arc
Akatsuki Suppression Mission",shippuden,17
"Arc
Versus Momoshiki Arc",Boruto,16
"Arc
Academy Entrance Arc",Boruto,15
"Arc
Kawaki & Himawari Academy Arc",Boruto,13
"Arc
Kakashi's Anbu Arc: The Shinobi That Lives in the Darkness",shippuden,13
"Arc
Konoha Crush",naruto,13
"Arc
Itachi Pursuit Mission",shippuden,12
"Arc
Mujina Bandits Arc",Boruto,11
"Arc
Ao Arc",Boruto,10
"Arc
Chūnin Re-Examination Arc",Boruto,10
"Arc
Fated Battle Between Brothers",shippuden,10
"Arc
Time Slip Arc",Boruto,9
"Arc
School Trip Arc",Boruto,8
"Arc
Six-Tails Unleashed",shippuden,8
"Arc
Labyrinth Game Arc",Boruto,8
"Arc
Tale of Jiraiya the Gallant",shippuden,7
"Arc
One-Tail Escort Arc",Boruto,7
"Arc
Konoha Hiden: The Perfect Day for a Wedding",shippuden,7
"Arc
Land of Rice Fields Investigation Mission",naruto,6
"Arc
Sarada Uchiha Arc",Boruto,6
"Arc
Cursed Warrior Extermination Mission",naruto,6
"Arc
Mizuki Tracking Mission",naruto,6
"Arc
Jūgo Arc",Boruto,6
"Arc
Kurosuki Family Removal Mission",naruto,6
"Arc
Star Guard Mission",naruto,6
"Arc
Steam Ninja Scrolls Arc",Boruto,6
"Arc
Power",shippuden,6
"Arc
Sasuke Shinden: Book of Sunrise",shippuden,5
"Arc
Sasuke Retsuden Arc",Boruto,5
"Arc
Peddlers Escort Mission",naruto,5
"Arc
Shikamaru Hiden: A Cloud Drifting in Silent Darkness",shippuden,5
"Arc
Sunagakure Support Mission",naruto,5
"Arc
Byakuya Gang Arc",Boruto,5
"Arc
Yakumo Kurama Rescue Mission",naruto,5
"Arc
Kaima Capture Mission",naruto,5
"Arc
Itachi Shinden Book: Light and Darkness",shippuden,5
"Arc
Land of Tea Escort Mission",naruto,5
"Arc
Konoha Plans Recapture Mission",naruto,5
"Arc
Graduation Exams Arc",Boruto,4
"Arc
Bikōchū Search Mission",naruto,4
"Arc
Konohamaru's Love Arc",Boruto,4
"Arc
Childhood",shippuden,4
"Arc
Gantetsu Escort Mission",naruto,4
"Arc
Code Invasion Arc",Boruto,3
"Arc
Genin Mission Arc",Boruto,3
"Arc
Parent and Child Day Arc",Boruto,3
"Arc
Menma Memory Search Mission",naruto,3
"Arc
Chōchō Arc",Boruto,3
"Arc
Gosunkugi Capture Mission",naruto,2
"Arc
Kakashi Gaiden",shippuden,2
"Arc
Third Great Beast Arc",naruto,2
"Arc
Buried Gold Excavation Mission",naruto,2
"Arc
Kaguya Ōtsutsuki Strikes, Itachi Shinden Book: Light and Darkness",shippuden,2
"Arc
Itachi Shinden Book: Light and Darkness, Kaguya Ōtsutsuki Strikes",shippuden,1
"Arc
Code's Assault Arc",Boruto,1
