,Total Votes,Rating
0,"1,644",7.8
1,"1,156",7.0
2,"1,100",7.2
3,"1,048",7.8
4,"1,072",8.0
5,980,7.3
6,970,7.7
7,982,7.9
8,979,7.8
9,884,7.1
10,880,7.1
11,866,7.3
12,869,7.7
13,857,7.1
14,835,7.6
15,944,8.3
16,921,8.1
17,857,8.0
18,"1,362",8.9
19,784,7.0
20,766,7.2
21,769,7.5
22,744,7.2
23,786,7.9
24,788,7.9
25,723,4.6
26,737,7.4
27,782,8.0
28,805,8.2
29,847,8.4
30,741,7.6
31,782,8.0
32,796,8.2
33,729,7.7
34,711,7.0
35,712,7.5
36,703,6.9
37,703,7.3
38,723,7.9
39,704,7.5
40,745,6.8
41,741,6.9
42,698,7.5
43,722,7.7
44,747,7.9
45,712,7.7
46,738,8.1
47,"1,532",9.1
48,"1,025",8.8
49,"1,306",9.1
50,687,7.2
51,682,6.9
52,693,7.4
53,666,7.4
54,652,7.1
55,691,7.7
56,668,7.5
57,671,7.6
58,653,6.9
59,675,7.6
60,698,7.9
61,906,8.7
62,653,7.3
63,750,8.2
64,642,7.1
65,698,7.9
66,727,8.2
67,680,8.1
68,668,7.9
69,645,7.8
70,729,8.4
71,689,8.2
72,642,7.9
73,657,8.0
74,659,7.9
75,695,8.1
76,676,7.9
77,913,8.9
78,"1,017",9.1
79,794,8.6
80,648,8.0
81,741,8.3
82,627,7.7
83,736,8.6
84,645,8.1
85,596,7.1
86,588,7.2
87,587,7.4
88,585,7.3
89,595,7.8
90,589,7.6
91,585,7.6
92,620,8.2
93,725,8.7
94,646,8.3
95,651,8.3
96,514,6.3
97,565,7.1
98,538,6.9
99,598,7.7
100,600,7.4
101,457,6.5
102,461,6.4
103,455,6.7
104,451,6.9
105,456,6.8
106,639,8.1
107,592,7.9
108,602,8.1
109,588,8.0
110,570,7.7
111,568,7.8
112,571,7.7
113,734,8.7
114,579,7.9
115,588,8.0
116,802,8.8
117,554,7.7
118,553,7.6
119,558,7.6
120,550,7.6
121,575,8.0
122,587,8.0
123,783,8.8
124,637,8.4
125,600,8.3
126,593,8.2
127,585,8.0
128,590,8.0
129,572,7.8
130,603,8.0
131,793,8.8
132,"1,402",9.3
133,905,9.0
134,586,8.1
